# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:46.325593] EVRESSSOC=58
[1970-01-01 01:00:46.415593] EVRESSSOC=58
[1970-01-01 01:00:46.505600] EVRESSSOC=58
[1970-01-01 01:00:46.595594] EVRESSSOC=58
[1970-01-01 01:00:46.685602] EVRESSSOC=58
[1970-01-01 01:00:46.775645] EVRESSSOC=58
[1970-01-01 01:00:46.865594] EVRESSSOC=58
[1970-01-01 01:00:46.955594] EVRESSSOC=58
[1970-01-01 01:00:47.045594] EVRESSSOC=58
[1970-01-01 01:00:47.135594] EVRESSSOC=58
[1970-01-01 01:00:47.225594] EVRESSSOC=58
[1970-01-01 01:00:47.315594] EVRESSSOC=58
[1970-01-01 01:00:47.405601] EVRESSSOC=58
[1970-01-01 01:00:47.495595] EVRESSSOC=58
[1970-01-01 01:00:47.585598] EVRESSSOC=58
[1970-01-01 01:00:47.675672] EVRESSSOC=58
[1970-01-01 01:00:47.765595] EVRESSSOC=58
[1970-01-01 01:00:47.855595] EVRESSSOC=58
[1970-01-01 01:00:47.945595] EVRESSSOC=58
[1970-01-01 01:00:48.035595] EVRESSSOC=58
[1970-01-01 01:00:48.125595] EVRESSSOC=58
[1970-01-01 01:00:48.215602] EVRESSSOC=58
[1970-01-01 01:00:48.305595] EVRESSSOC=58
[1970-01-01 01:00:48.395595] EVRESSSOC=58
[1970-01-01 01:00:48.485596] EVRESSSOC=58
[1970-01-01 01:00:48.575629] EVRESSSOC=58
[1970-01-01 01:00:48.665596] EVRESSSOC=58
[1970-01-01 01:00:48.755596] EVRESSSOC=58
[1970-01-01 01:00:48.845596] EVRESSSOC=58
[1970-01-01 01:00:48.935596] EVRESSSOC=58
[1970-01-01 01:00:49.025596] EVRESSSOC=58
[1970-01-01 01:00:49.115596] EVRESSSOC=58
[1970-01-01 01:00:49.205603] EVRESSSOC=58
[1970-01-01 01:00:49.295596] EVRESSSOC=58
[1970-01-01 01:00:49.385604] EVRESSSOC=58
[1970-01-01 01:00:49.475617] EVRESSSOC=58
[1970-01-01 01:00:49.565597] EVRESSSOC=58
[1970-01-01 01:00:49.655597] EVRESSSOC=58
[1970-01-01 01:00:49.745597] EVRESSSOC=58
[1970-01-01 01:00:49.835597] EVRESSSOC=58
[1970-01-01 01:00:49.925597] EVRESSSOC=58
[1970-01-01 01:00:50.015597] EVRESSSOC=58
[1970-01-01 01:00:50.105604] EVRESSSOC=58
[1970-01-01 01:00:50.195597] EVRESSSOC=58
[1970-01-01 01:00:50.285626] EVRESSSOC=58
[1970-01-01 01:00:50.375597] EVRESSSOC=58
[1970-01-01 01:00:50.465598] EVRESSSOC=58
[1970-01-01 01:00:50.555597] EVRESSSOC=58
[1970-01-01 01:00:50.645598] EVRESSSOC=58
[1970-01-01 01:00:50.735598] EVRESSSOC=58
[1970-01-01 01:00:50.825598] EVRESSSOC=58
[1970-01-01 01:00:50.915598] EVRESSSOC=58
[1970-01-01 01:00:51.205614] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.205614] EVTargetCurrent=1.0
[1970-01-01 01:00:51.205614] EVRESSSOC=58
[1970-01-01 01:00:51.235606] EVSEPresentVoltage=0.0
[1970-01-01 01:00:51.315607] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.315607] EVTargetCurrent=1.0
[1970-01-01 01:00:51.315607] EVRESSSOC=58
[1970-01-01 01:00:51.325608] EVSEPresentVoltage=101.83
[1970-01-01 01:00:51.405614] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.405614] EVTargetCurrent=1.0
[1970-01-01 01:00:51.405614] EVRESSSOC=58
[1970-01-01 01:00:51.415608] EVSEPresentVoltage=119.23
[1970-01-01 01:00:51.495607] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.495607] EVTargetCurrent=1.0
[1970-01-01 01:00:51.495607] EVRESSSOC=58
[1970-01-01 01:00:51.505616] EVSEPresentVoltage=210.18
[1970-01-01 01:00:51.585640] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.585640] EVTargetCurrent=1.0
[1970-01-01 01:00:51.585640] EVRESSSOC=58
[1970-01-01 01:00:51.595609] EVSEPresentVoltage=255.53
[1970-01-01 01:00:51.675607] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.675607] EVTargetCurrent=1.0
[1970-01-01 01:00:51.675607] EVRESSSOC=58
[1970-01-01 01:00:51.685641] EVSEPresentVoltage=342.1
[1970-01-01 01:00:51.765608] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.765608] EVTargetCurrent=1.0
[1970-01-01 01:00:51.765608] EVRESSSOC=58
[1970-01-01 01:00:51.775608] EVSEPresentVoltage=349.90000000000003
[1970-01-01 01:00:51.855607] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.855607] EVTargetCurrent=1.0
[1970-01-01 01:00:51.855607] EVRESSSOC=58
[1970-01-01 01:00:51.865609] EVSEPresentVoltage=350.20000000000005
[1970-01-01 01:00:51.945608] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:51.945608] EVTargetCurrent=1.0
[1970-01-01 01:00:51.945608] EVRESSSOC=58
[1970-01-01 01:00:51.955608] EVSEPresentVoltage=350.3
[1970-01-01 01:00:52.035608] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:52.035608] EVTargetCurrent=1.0
[1970-01-01 01:00:52.035608] EVRESSSOC=58
[1970-01-01 01:00:52.045609] EVSEPresentVoltage=350.40000000000003
[1970-01-01 01:00:52.125608] EVTargetVoltage=354.6
[1970-01-01 01:00:52.125608] EVTargetCurrent=1.0
[1970-01-01 01:00:52.125608] EVRESSSOC=58
[1970-01-01 01:00:52.135609] EVSEPresentVoltage=350.6
[1970-01-01 01:00:52.215608] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:52.215608] EVTargetCurrent=1.0
[1970-01-01 01:00:52.215608] EVRESSSOC=58
[1970-01-01 01:00:52.225609] EVSEPresentVoltage=350.8
[1970-01-01 01:00:52.305615] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:52.305615] EVTargetCurrent=1.0
[1970-01-01 01:00:52.305615] EVRESSSOC=58
[1970-01-01 01:00:52.315609] EVSEPresentVoltage=351.0
[1970-01-01 01:00:52.395608] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:52.395608] EVTargetCurrent=1.0
[1970-01-01 01:00:52.395608] EVRESSSOC=58
[1970-01-01 01:00:52.405616] EVSEPresentVoltage=351.1
[1970-01-01 01:00:52.485641] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:52.485641] EVTargetCurrent=1.0
[1970-01-01 01:00:52.485641] EVRESSSOC=58
[1970-01-01 01:00:52.495609] EVSEPresentVoltage=351.1
[1970-01-01 01:00:52.575608] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:52.575608] EVTargetCurrent=1.0
[1970-01-01 01:00:52.575608] EVRESSSOC=58
[1970-01-01 01:00:52.585642] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.205643] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:53.205643] EVTargetCurrent=1.0
[1970-01-01 01:00:53.205643] EVRESSSOC=58
[1970-01-01 01:00:53.215631] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.215631] EVSEPresentCurrent=0.019
[1970-01-01 01:00:53.295636] EVTargetVoltage=354.90000000000003
[1970-01-01 01:00:53.295636] EVTargetCurrent=1.0
[1970-01-01 01:00:53.295636] EVRESSSOC=58
[1970-01-01 01:00:53.305637] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.305637] EVSEPresentCurrent=0.019
[1970-01-01 01:00:53.385669] EVTargetVoltage=412.8
[1970-01-01 01:00:53.385669] EVTargetCurrent=2.0
[1970-01-01 01:00:53.385669] EVRESSSOC=58
[1970-01-01 01:00:53.405637] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.405637] EVSEPresentCurrent=0.016
[1970-01-01 01:00:53.485669] EVTargetVoltage=412.8
[1970-01-01 01:00:53.485669] EVTargetCurrent=3.0
[1970-01-01 01:00:53.485669] EVRESSSOC=58
[1970-01-01 01:00:53.495631] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.495631] EVSEPresentCurrent=0.018000000000000002
[1970-01-01 01:00:53.575636] EVTargetVoltage=412.8
[1970-01-01 01:00:53.575636] EVTargetCurrent=4.0
[1970-01-01 01:00:53.575636] EVRESSSOC=58
[1970-01-01 01:00:53.585664] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.585664] EVSEPresentCurrent=0.009000000000000001
[1970-01-01 01:00:53.665636] EVTargetVoltage=412.8
[1970-01-01 01:00:53.665636] EVTargetCurrent=5.0
[1970-01-01 01:00:53.665636] EVRESSSOC=58
[1970-01-01 01:00:53.675631] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.675631] EVSEPresentCurrent=0.017
[1970-01-01 01:00:53.755636] EVTargetVoltage=412.8
[1970-01-01 01:00:53.755636] EVTargetCurrent=6.0
[1970-01-01 01:00:53.755636] EVRESSSOC=58
[1970-01-01 01:00:53.765631] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.765631] EVSEPresentCurrent=0.03
[1970-01-01 01:00:53.845636] EVTargetVoltage=412.8
[1970-01-01 01:00:53.845636] EVTargetCurrent=7.0
[1970-01-01 01:00:53.845636] EVRESSSOC=58
[1970-01-01 01:00:53.855631] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.855631] EVSEPresentCurrent=0.024
[1970-01-01 01:00:53.935637] EVTargetVoltage=412.8
[1970-01-01 01:00:53.935637] EVTargetCurrent=8.0
[1970-01-01 01:00:53.935637] EVRESSSOC=58
[1970-01-01 01:00:53.945631] EVSEPresentVoltage=354.5
[1970-01-01 01:00:53.945631] EVSEPresentCurrent=0.019
[1970-01-01 01:00:54.025637] EVTargetVoltage=412.8
[1970-01-01 01:00:54.025637] EVTargetCurrent=9.0
[1970-01-01 01:00:54.025637] EVRESSSOC=58
[1970-01-01 01:00:54.035632] EVSEPresentVoltage=354.6
[1970-01-01 01:00:54.035632] EVSEPresentCurrent=2.0420000000000003
[1970-01-01 01:00:54.115637] EVTargetVoltage=412.8
[1970-01-01 01:00:54.115637] EVTargetCurrent=10.0
[1970-01-01 01:00:54.115637] EVRESSSOC=58
[1970-01-01 01:00:54.125632] EVSEPresentVoltage=354.8
[1970-01-01 01:00:54.125632] EVSEPresentCurrent=6.144
[1970-01-01 01:00:54.205644] EVTargetVoltage=412.8
[1970-01-01 01:00:54.205644] EVTargetCurrent=11.0
[1970-01-01 01:00:54.205644] EVRESSSOC=58
[1970-01-01 01:00:54.215632] EVSEPresentVoltage=354.90000000000003
[1970-01-01 01:00:54.215632] EVSEPresentCurrent=8.296
[1970-01-01 01:00:54.295637] EVTargetVoltage=412.8
[1970-01-01 01:00:54.295637] EVTargetCurrent=11.0
[1970-01-01 01:00:54.295637] EVRESSSOC=58
[1970-01-01 01:00:54.305638] EVSEPresentVoltage=355.0
[1970-01-01 01:00:54.305638] EVSEPresentCurrent=9.0
[1970-01-01 01:00:54.385670] EVTargetVoltage=412.8
[1970-01-01 01:00:54.385670] EVTargetCurrent=12.0
[1970-01-01 01:00:54.385670] EVRESSSOC=58
[1970-01-01 01:00:54.395632] EVSEPresentVoltage=355.0
[1970-01-01 01:00:54.395632] EVSEPresentCurrent=10.07
[1970-01-01 01:00:54.475639] EVTargetVoltage=412.8
[1970-01-01 01:00:54.475639] EVTargetCurrent=13.0
[1970-01-01 01:00:54.475639] EVRESSSOC=58
[1970-01-01 01:00:54.485665] EVSEPresentVoltage=355.0
[1970-01-01 01:00:54.485665] EVSEPresentCurrent=10.556000000000001
[1970-01-01 01:00:54.565639] EVTargetVoltage=412.8
[1970-01-01 01:00:54.565639] EVTargetCurrent=14.0
[1970-01-01 01:00:54.565639] EVRESSSOC=58
[1970-01-01 01:00:54.575632] EVSEPresentVoltage=355.1
[1970-01-01 01:00:54.575632] EVSEPresentCurrent=11.159
[1970-01-01 01:00:54.655639] EVTargetVoltage=412.8
[1970-01-01 01:00:54.655639] EVTargetCurrent=15.0
[1970-01-01 01:00:54.655639] EVRESSSOC=58
[1970-01-01 01:00:54.665633] EVSEPresentVoltage=355.1
[1970-01-01 01:00:54.665633] EVSEPresentCurrent=12.244
[1970-01-01 01:00:54.745639] EVTargetVoltage=412.8
[1970-01-01 01:00:54.745639] EVTargetCurrent=16.0
[1970-01-01 01:00:54.745639] EVRESSSOC=58
[1970-01-01 01:00:54.755633] EVSEPresentVoltage=355.20000000000005
[1970-01-01 01:00:54.755633] EVSEPresentCurrent=12.9
[1970-01-01 01:00:54.835639] EVTargetVoltage=412.8
[1970-01-01 01:00:54.835639] EVTargetCurrent=17.0
[1970-01-01 01:00:54.835639] EVRESSSOC=58
[1970-01-01 01:00:54.845633] EVSEPresentVoltage=355.20000000000005
[1970-01-01 01:00:54.845633] EVSEPresentCurrent=13.886000000000001
[1970-01-01 01:00:54.925639] EVTargetVoltage=412.8
[1970-01-01 01:00:54.925639] EVTargetCurrent=18.0
[1970-01-01 01:00:54.925639] EVRESSSOC=58
[1970-01-01 01:00:54.935633] EVSEPresentVoltage=355.3
[1970-01-01 01:00:54.935633] EVSEPresentCurrent=15.232000000000001
[1970-01-01 01:00:55.015639] EVTargetVoltage=412.8
[1970-01-01 01:00:55.015639] EVTargetCurrent=19.0
[1970-01-01 01:00:55.015639] EVRESSSOC=58
[1970-01-01 01:00:55.025633] EVSEPresentVoltage=355.40000000000003
[1970-01-01 01:00:55.025633] EVSEPresentCurrent=16.339
[1970-01-01 01:00:55.105646] EVTargetVoltage=412.8
[1970-01-01 01:00:55.105646] EVTargetCurrent=20.0
[1970-01-01 01:00:55.105646] EVRESSSOC=58
[1970-01-01 01:00:55.115634] EVSEPresentVoltage=355.40000000000003
[1970-01-01 01:00:55.115634] EVSEPresentCurrent=16.884
[1970-01-01 01:00:55.195639] EVTargetVoltage=412.8
[1970-01-01 01:00:55.195639] EVTargetCurrent=20.0
[1970-01-01 01:00:55.195639] EVRESSSOC=58
[1970-01-01 01:00:55.205641] EVSEPresentVoltage=355.5
[1970-01-01 01:00:55.205641] EVSEPresentCurrent=17.39
[1970-01-01 01:00:55.285672] EVTargetVoltage=412.8
[1970-01-01 01:00:55.285672] EVTargetCurrent=21.0
[1970-01-01 01:00:55.285672] EVRESSSOC=58
[1970-01-01 01:00:55.295635] EVSEPresentVoltage=355.6
[1970-01-01 01:00:55.295635] EVSEPresentCurrent=18.968
[1970-01-01 01:00:55.375640] EVTargetVoltage=412.8
[1970-01-01 01:00:55.375640] EVTargetCurrent=22.0
[1970-01-01 01:00:55.375640] EVRESSSOC=58
[1970-01-01 01:00:55.385668] EVSEPresentVoltage=355.70000000000005
[1970-01-01 01:00:55.385668] EVSEPresentCurrent=19.432000000000002
[1970-01-01 01:00:55.465640] EVTargetVoltage=412.8
[1970-01-01 01:00:55.465640] EVTargetCurrent=23.0
[1970-01-01 01:00:55.465640] EVRESSSOC=58
[1970-01-01 01:00:55.475635] EVSEPresentVoltage=355.70000000000005
[1970-01-01 01:00:55.475635] EVSEPresentCurrent=20.424
[1970-01-01 01:00:55.555640] EVTargetVoltage=412.8
[1970-01-01 01:00:55.555640] EVTargetCurrent=24.0
[1970-01-01 01:00:55.555640] EVRESSSOC=58
[1970-01-01 01:00:55.565635] EVSEPresentVoltage=355.70000000000005
[1970-01-01 01:00:55.565635] EVSEPresentCurrent=20.79
[1970-01-01 01:00:55.645640] EVTargetVoltage=412.8
[1970-01-01 01:00:55.645640] EVTargetCurrent=25.0
[1970-01-01 01:00:55.645640] EVRESSSOC=58
[1970-01-01 01:00:55.655635] EVSEPresentVoltage=355.8
[1970-01-01 01:00:55.655635] EVSEPresentCurrent=21.896
[1970-01-01 01:00:55.735640] EVTargetVoltage=412.8
[1970-01-01 01:00:55.735640] EVTargetCurrent=26.0
[1970-01-01 01:00:55.735640] EVRESSSOC=58
[1970-01-01 01:00:55.745635] EVSEPresentVoltage=355.90000000000003
[1970-01-01 01:00:55.745635] EVSEPresentCurrent=22.952
[1970-01-01 01:00:55.825640] EVTargetVoltage=412.8
[1970-01-01 01:00:55.825640] EVTargetCurrent=27.0
[1970-01-01 01:00:55.825640] EVRESSSOC=58
[1970-01-01 01:00:55.835635] EVSEPresentVoltage=355.90000000000003
[1970-01-01 01:00:55.835635] EVSEPresentCurrent=24.156
[1970-01-01 01:00:55.915640] EVTargetVoltage=412.8
[1970-01-01 01:00:55.915640] EVTargetCurrent=28.0
[1970-01-01 01:00:55.915640] EVRESSSOC=58
[1970-01-01 01:00:55.925635] EVSEPresentVoltage=356.0
[1970-01-01 01:00:55.925635] EVSEPresentCurrent=25.264
[1970-01-01 01:00:56.005647] EVTargetVoltage=412.8
[1970-01-01 01:00:56.005647] EVTargetCurrent=29.0
[1970-01-01 01:00:56.005647] EVRESSSOC=58
[1970-01-01 01:00:56.015635] EVSEPresentVoltage=356.1
[1970-01-01 01:00:56.015635] EVSEPresentCurrent=25.93
[1970-01-01 01:00:56.095640] EVTargetVoltage=412.8
[1970-01-01 01:00:56.095640] EVTargetCurrent=29.0
[1970-01-01 01:00:56.095640] EVRESSSOC=58
[1970-01-01 01:00:56.105642] EVSEPresentVoltage=356.20000000000005
[1970-01-01 01:00:56.105642] EVSEPresentCurrent=27.097
[1970-01-01 01:00:56.185673] EVTargetVoltage=412.8
[1970-01-01 01:00:56.185673] EVTargetCurrent=30.0
[1970-01-01 01:00:56.185673] EVRESSSOC=58
[1970-01-01 01:00:56.195636] EVSEPresentVoltage=356.3
[1970-01-01 01:00:56.195636] EVSEPresentCurrent=28.043
[1970-01-01 01:00:56.275640] EVTargetVoltage=412.8
[1970-01-01 01:00:56.275640] EVTargetCurrent=31.0
[1970-01-01 01:00:56.275640] EVRESSSOC=58
[1970-01-01 01:00:56.285669] EVSEPresentVoltage=356.20000000000005
[1970-01-01 01:00:56.285669] EVSEPresentCurrent=28.603
[1970-01-01 01:00:56.365640] EVTargetVoltage=412.8
[1970-01-01 01:00:56.365640] EVTargetCurrent=32.0
[1970-01-01 01:00:56.365640] EVRESSSOC=58
[1970-01-01 01:00:56.375636] EVSEPresentVoltage=356.3
[1970-01-01 01:00:56.375636] EVSEPresentCurrent=29.594
[1970-01-01 01:00:56.455641] EVTargetVoltage=412.8
[1970-01-01 01:00:56.455641] EVTargetCurrent=33.0
[1970-01-01 01:00:56.455641] EVRESSSOC=58
