# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:01:30.837001] EVRESSSOC=90
[1970-01-01 01:01:30.927008] EVRESSSOC=90
[1970-01-01 01:01:31.017001] EVRESSSOC=90
[1970-01-01 01:01:31.107001] EVRESSSOC=90
[1970-01-01 01:01:31.197001] EVRESSSOC=90
[1970-01-01 01:01:31.287001] EVRESSSOC=90
[1970-01-01 01:01:31.377001] EVRESSSOC=90
[1970-01-01 01:01:31.467034] EVRESSSOC=90
[1970-01-01 01:01:31.557001] EVRESSSOC=90
[1970-01-01 01:01:31.647001] EVRESSSOC=90
[1970-01-01 01:01:31.737001] EVRESSSOC=90
[1970-01-01 01:01:31.827008] EVRESSSOC=90
[1970-01-01 01:01:31.917001] EVRESSSOC=90
[1970-01-01 01:01:32.007001] EVRESSSOC=90
[1970-01-01 01:01:32.097001] EVRESSSOC=90
[1970-01-01 01:01:32.187001] EVRESSSOC=90
[1970-01-01 01:01:32.277001] EVRESSSOC=90
[1970-01-01 01:01:32.367035] EVRESSSOC=90
[1970-01-01 01:01:32.467034] EVRESSSOC=90
[1970-01-01 01:01:32.557002] EVRESSSOC=90
[1970-01-01 01:01:32.647002] EVRESSSOC=90
[1970-01-01 01:01:32.737002] EVRESSSOC=90
[1970-01-01 01:01:32.827009] EVRESSSOC=90
[1970-01-01 01:01:32.917002] EVRESSSOC=90
[1970-01-01 01:01:33.007002] EVRESSSOC=90
[1970-01-01 01:01:33.097002] EVRESSSOC=90
[1970-01-01 01:01:33.187002] EVRESSSOC=90
[1970-01-01 01:01:33.277002] EVRESSSOC=90
[1970-01-01 01:01:33.367035] EVRESSSOC=90
[1970-01-01 01:01:33.457002] EVRESSSOC=90
[1970-01-01 01:01:33.547002] EVRESSSOC=90
[1970-01-01 01:01:33.637002] EVRESSSOC=90
[1970-01-01 01:01:33.727009] EVRESSSOC=90
[1970-01-01 01:01:33.817002] EVRESSSOC=90
[1970-01-01 01:01:33.907002] EVRESSSOC=90
[1970-01-01 01:01:33.997002] EVRESSSOC=90
[1970-01-01 01:01:34.087002] EVRESSSOC=90
[1970-01-01 01:01:34.177010] EVRESSSOC=90
[1970-01-01 01:01:34.267023] EVRESSSOC=90
[1970-01-01 01:01:34.357002] EVRESSSOC=90
[1970-01-01 01:01:34.447002] EVRESSSOC=90
[1970-01-01 01:01:34.537002] EVRESSSOC=90
[1970-01-01 01:01:34.627009] EVRESSSOC=90
[1970-01-01 01:01:34.717002] EVRESSSOC=90
[1970-01-01 01:01:34.807002] EVRESSSOC=90
[1970-01-01 01:01:34.897002] EVRESSSOC=90
[1970-01-01 01:01:34.987003] EVRESSSOC=90
[1970-01-01 01:01:35.077031] EVRESSSOC=90
[1970-01-01 01:01:35.167033] EVRESSSOC=90
[1970-01-01 01:01:35.257003] EVRESSSOC=90
[1970-01-01 01:01:35.347003] EVRESSSOC=90
[1970-01-01 01:01:35.627018] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:35.627018] EVTargetCurrent=1.0
[1970-01-01 01:01:35.627018] EVRESSSOC=90
[1970-01-01 01:01:35.657011] EVSEPresentVoltage=0.0
[1970-01-01 01:01:35.737012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:35.737012] EVTargetCurrent=1.0
[1970-01-01 01:01:35.737012] EVRESSSOC=90
[1970-01-01 01:01:35.747012] EVSEPresentVoltage=103.53
[1970-01-01 01:01:35.827018] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:35.827018] EVTargetCurrent=1.0
[1970-01-01 01:01:35.827018] EVRESSSOC=90
[1970-01-01 01:01:35.837013] EVSEPresentVoltage=98.74000000000001
[1970-01-01 01:01:35.917012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:35.917012] EVTargetCurrent=1.0
[1970-01-01 01:01:35.917012] EVRESSSOC=90
[1970-01-01 01:01:35.927019] EVSEPresentVoltage=121.61
[1970-01-01 01:01:36.007012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.007012] EVTargetCurrent=1.0
[1970-01-01 01:01:36.007012] EVRESSSOC=90
[1970-01-01 01:01:36.017013] EVSEPresentVoltage=210.89000000000001
[1970-01-01 01:01:36.097012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.097012] EVTargetCurrent=1.0
[1970-01-01 01:01:36.097012] EVRESSSOC=90
[1970-01-01 01:01:36.107013] EVSEPresentVoltage=299.89
[1970-01-01 01:01:36.187012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.187012] EVTargetCurrent=1.0
[1970-01-01 01:01:36.187012] EVRESSSOC=90
[1970-01-01 01:01:36.197013] EVSEPresentVoltage=344.3
[1970-01-01 01:01:36.277045] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.277045] EVTargetCurrent=1.0
[1970-01-01 01:01:36.277045] EVRESSSOC=90
[1970-01-01 01:01:36.287013] EVSEPresentVoltage=384.8
[1970-01-01 01:01:36.367038] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.367038] EVTargetCurrent=1.0
[1970-01-01 01:01:36.367038] EVRESSSOC=90
[1970-01-01 01:01:36.377046] EVSEPresentVoltage=385.0
[1970-01-01 01:01:36.457012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.457012] EVTargetCurrent=1.0
[1970-01-01 01:01:36.457012] EVRESSSOC=90
[1970-01-01 01:01:36.467039] EVSEPresentVoltage=385.3
[1970-01-01 01:01:36.547012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.547012] EVTargetCurrent=1.0
[1970-01-01 01:01:36.547012] EVRESSSOC=90
[1970-01-01 01:01:36.557013] EVSEPresentVoltage=385.5
[1970-01-01 01:01:36.637012] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:36.637012] EVTargetCurrent=1.0
[1970-01-01 01:01:36.637012] EVRESSSOC=90
[1970-01-01 01:01:36.647013] EVSEPresentVoltage=386.8
[1970-01-01 01:01:37.297038] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:37.297038] EVTargetCurrent=1.0
[1970-01-01 01:01:37.297038] EVRESSSOC=90
[1970-01-01 01:01:37.307032] EVSEPresentVoltage=388.3
[1970-01-01 01:01:37.307032] EVSEPresentCurrent=0.038
[1970-01-01 01:01:37.387038] EVTargetVoltage=388.70000000000005
[1970-01-01 01:01:37.387038] EVTargetCurrent=1.0
[1970-01-01 01:01:37.387038] EVRESSSOC=90
[1970-01-01 01:01:37.397032] EVSEPresentVoltage=388.20000000000005
[1970-01-01 01:01:37.397032] EVSEPresentCurrent=0.036000000000000004
[1970-01-01 01:01:37.477071] EVTargetVoltage=412.8
[1970-01-01 01:01:37.477071] EVTargetCurrent=2.0
[1970-01-01 01:01:37.477071] EVRESSSOC=90
[1970-01-01 01:01:37.487032] EVSEPresentVoltage=388.3
[1970-01-01 01:01:37.487032] EVSEPresentCurrent=0.04
[1970-01-01 01:01:37.567038] EVTargetVoltage=412.8
[1970-01-01 01:01:37.567038] EVTargetCurrent=3.0
[1970-01-01 01:01:37.567038] EVRESSSOC=90
[1970-01-01 01:01:37.577066] EVSEPresentVoltage=388.3
[1970-01-01 01:01:37.577066] EVSEPresentCurrent=0.045
[1970-01-01 01:01:37.657038] EVTargetVoltage=412.8
[1970-01-01 01:01:37.657038] EVTargetCurrent=4.0
[1970-01-01 01:01:37.657038] EVRESSSOC=90
[1970-01-01 01:01:37.667032] EVSEPresentVoltage=388.3
[1970-01-01 01:01:37.667032] EVSEPresentCurrent=0.049
[1970-01-01 01:01:37.747038] EVTargetVoltage=412.8
[1970-01-01 01:01:37.747038] EVTargetCurrent=5.0
[1970-01-01 01:01:37.747038] EVRESSSOC=90
[1970-01-01 01:01:37.757032] EVSEPresentVoltage=388.3
[1970-01-01 01:01:37.757032] EVSEPresentCurrent=0.032
[1970-01-01 01:01:37.837039] EVTargetVoltage=412.8
[1970-01-01 01:01:37.837039] EVTargetCurrent=6.0
[1970-01-01 01:01:37.837039] EVRESSSOC=90
[1970-01-01 01:01:37.847032] EVSEPresentVoltage=388.3
[1970-01-01 01:01:37.847032] EVSEPresentCurrent=0.038
[1970-01-01 01:01:37.927045] EVTargetVoltage=412.8
[1970-01-01 01:01:37.927045] EVTargetCurrent=7.0
[1970-01-01 01:01:37.927045] EVRESSSOC=90
[1970-01-01 01:01:37.937033] EVSEPresentVoltage=388.3
[1970-01-01 01:01:37.937033] EVSEPresentCurrent=0.036000000000000004
[1970-01-01 01:01:38.017038] EVTargetVoltage=412.8
[1970-01-01 01:01:38.017038] EVTargetCurrent=8.0
[1970-01-01 01:01:38.017038] EVRESSSOC=90
[1970-01-01 01:01:38.027039] EVSEPresentVoltage=388.3
[1970-01-01 01:01:38.027039] EVSEPresentCurrent=0.10300000000000001
[1970-01-01 01:01:38.107039] EVTargetVoltage=412.8
[1970-01-01 01:01:38.107039] EVTargetCurrent=9.0
[1970-01-01 01:01:38.107039] EVRESSSOC=90
[1970-01-01 01:01:38.117034] EVSEPresentVoltage=388.3
[1970-01-01 01:01:38.117034] EVSEPresentCurrent=1.407
[1970-01-01 01:01:38.197039] EVTargetVoltage=412.8
[1970-01-01 01:01:38.197039] EVTargetCurrent=10.0
[1970-01-01 01:01:38.197039] EVRESSSOC=90
[1970-01-01 01:01:38.207034] EVSEPresentVoltage=388.5
[1970-01-01 01:01:38.207034] EVSEPresentCurrent=4.163
[1970-01-01 01:01:38.287039] EVTargetVoltage=412.8
[1970-01-01 01:01:38.287039] EVTargetCurrent=10.0
[1970-01-01 01:01:38.287039] EVRESSSOC=90
[1970-01-01 01:01:38.297034] EVSEPresentVoltage=388.70000000000005
[1970-01-01 01:01:38.297034] EVSEPresentCurrent=7.466
[1970-01-01 01:01:38.377072] EVTargetVoltage=412.8
[1970-01-01 01:01:38.377072] EVTargetCurrent=11.0
[1970-01-01 01:01:38.377072] EVRESSSOC=90
[1970-01-01 01:01:38.387034] EVSEPresentVoltage=388.90000000000003
[1970-01-01 01:01:38.387034] EVSEPresentCurrent=9.444
[1970-01-01 01:01:38.467039] EVTargetVoltage=412.8
[1970-01-01 01:01:38.467039] EVTargetCurrent=12.0
[1970-01-01 01:01:38.467039] EVRESSSOC=90
[1970-01-01 01:01:38.477067] EVSEPresentVoltage=388.90000000000003
[1970-01-01 01:01:38.477067] EVSEPresentCurrent=10.066
[1970-01-01 01:01:38.557040] EVTargetVoltage=412.8
[1970-01-01 01:01:38.557040] EVTargetCurrent=13.0
[1970-01-01 01:01:38.557040] EVRESSSOC=90
[1970-01-01 01:01:38.567034] EVSEPresentVoltage=389.0
[1970-01-01 01:01:38.567034] EVSEPresentCurrent=10.737
[1970-01-01 01:01:38.647040] EVTargetVoltage=412.8
[1970-01-01 01:01:38.647040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:38.647040] EVRESSSOC=90
[1970-01-01 01:01:38.657034] EVSEPresentVoltage=389.0
[1970-01-01 01:01:38.657034] EVSEPresentCurrent=11.599
[1970-01-01 01:01:38.737040] EVTargetVoltage=412.8
[1970-01-01 01:01:38.737040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:38.737040] EVRESSSOC=90
[1970-01-01 01:01:38.747034] EVSEPresentVoltage=389.1
[1970-01-01 01:01:38.747034] EVSEPresentCurrent=12.588000000000001
[1970-01-01 01:01:38.827046] EVTargetVoltage=412.8
[1970-01-01 01:01:38.827046] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:38.827046] EVRESSSOC=90
[1970-01-01 01:01:38.837034] EVSEPresentVoltage=389.1
[1970-01-01 01:01:38.837034] EVSEPresentCurrent=12.827
[1970-01-01 01:01:38.917040] EVTargetVoltage=412.8
[1970-01-01 01:01:38.917040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:38.917040] EVRESSSOC=90
[1970-01-01 01:01:38.927041] EVSEPresentVoltage=389.1
[1970-01-01 01:01:38.927041] EVSEPresentCurrent=13.123000000000001
[1970-01-01 01:01:39.007040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.007040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.007040] EVRESSSOC=90
[1970-01-01 01:01:39.017034] EVSEPresentVoltage=389.1
[1970-01-01 01:01:39.017034] EVSEPresentCurrent=13.291
[1970-01-01 01:01:39.097040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.097040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.097040] EVRESSSOC=90
[1970-01-01 01:01:39.107034] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.107034] EVSEPresentCurrent=13.308
[1970-01-01 01:01:39.187040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.187040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.187040] EVRESSSOC=90
[1970-01-01 01:01:39.197035] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.197035] EVSEPresentCurrent=13.134
[1970-01-01 01:01:39.277073] EVTargetVoltage=412.8
[1970-01-01 01:01:39.277073] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.277073] EVRESSSOC=90
[1970-01-01 01:01:39.287035] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.287035] EVSEPresentCurrent=13.197000000000001
[1970-01-01 01:01:39.367040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.367040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.367040] EVRESSSOC=90
[1970-01-01 01:01:39.377068] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.377068] EVSEPresentCurrent=13.236
[1970-01-01 01:01:39.457040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.457040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.457040] EVRESSSOC=90
[1970-01-01 01:01:39.467034] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.467034] EVSEPresentCurrent=13.366
[1970-01-01 01:01:39.547040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.547040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.547040] EVRESSSOC=90
[1970-01-01 01:01:39.557035] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.557035] EVSEPresentCurrent=13.388
[1970-01-01 01:01:39.637040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.637040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.637040] EVRESSSOC=90
[1970-01-01 01:01:39.647035] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.647035] EVSEPresentCurrent=13.355
[1970-01-01 01:01:39.727047] EVTargetVoltage=412.8
[1970-01-01 01:01:39.727047] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.727047] EVRESSSOC=90
[1970-01-01 01:01:39.737035] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.737035] EVSEPresentCurrent=13.324
[1970-01-01 01:01:39.817040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.817040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.817040] EVRESSSOC=90
[1970-01-01 01:01:39.827042] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.827042] EVSEPresentCurrent=13.199
[1970-01-01 01:01:39.907040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.907040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.907040] EVRESSSOC=90
[1970-01-01 01:01:39.917035] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:39.917035] EVSEPresentCurrent=13.191
[1970-01-01 01:01:39.997040] EVTargetVoltage=412.8
[1970-01-01 01:01:39.997040] EVTargetCurrent=13.100000000000001
[1970-01-01 01:01:39.997040] EVRESSSOC=90
[1970-01-01 01:01:40.007035] EVSEPresentVoltage=389.20000000000005
[1970-01-01 01:01:40.007035] EVSEPresentCurrent=13.244
