# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:58.370884] EVRESSSOC=57
[1970-01-01 01:00:58.460877] EVRESSSOC=57
[1970-01-01 01:00:58.550877] EVRESSSOC=57
[1970-01-01 01:00:58.640878] EVRESSSOC=57
[1970-01-01 01:00:58.730878] EVRESSSOC=57
[1970-01-01 01:00:58.820878] EVRESSSOC=57
[1970-01-01 01:00:58.910878] EVRESSSOC=57
[1970-01-01 01:00:59.000878] EVRESSSOC=57
[1970-01-01 01:00:59.090878] EVRESSSOC=57
[1970-01-01 01:00:59.180912] EVRESSSOC=57
[1970-01-01 01:00:59.270885] EVRESSSOC=57
[1970-01-01 01:00:59.360879] EVRESSSOC=57
[1970-01-01 01:00:59.450879] EVRESSSOC=57
[1970-01-01 01:00:59.540879] EVRESSSOC=57
[1970-01-01 01:00:59.630879] EVRESSSOC=57
[1970-01-01 01:00:59.720879] EVRESSSOC=57
[1970-01-01 01:00:59.810879] EVRESSSOC=57
[1970-01-01 01:00:59.900880] EVRESSSOC=57
[1970-01-01 01:00:59.990880] EVRESSSOC=57
[1970-01-01 01:01:00.080913] EVRESSSOC=57
[1970-01-01 01:01:00.170887] EVRESSSOC=57
[1970-01-01 01:01:00.260880] EVRESSSOC=57
[1970-01-01 01:01:00.350880] EVRESSSOC=57
[1970-01-01 01:01:00.440881] EVRESSSOC=57
[1970-01-01 01:01:00.530881] EVRESSSOC=57
[1970-01-01 01:01:00.620881] EVRESSSOC=57
[1970-01-01 01:01:00.710881] EVRESSSOC=57
[1970-01-01 01:01:00.800881] EVRESSSOC=57
[1970-01-01 01:01:00.890881] EVRESSSOC=57
[1970-01-01 01:01:00.980915] EVRESSSOC=57
[1970-01-01 01:01:01.070888] EVRESSSOC=57
[1970-01-01 01:01:01.160882] EVRESSSOC=57
[1970-01-01 01:01:01.250882] EVRESSSOC=57
[1970-01-01 01:01:01.340882] EVRESSSOC=57
[1970-01-01 01:01:01.430882] EVRESSSOC=57
[1970-01-01 01:01:01.520882] EVRESSSOC=57
[1970-01-01 01:01:01.610883] EVRESSSOC=57
[1970-01-01 01:01:01.700883] EVRESSSOC=57
[1970-01-01 01:01:01.790883] EVRESSSOC=57
[1970-01-01 01:01:01.880913] EVRESSSOC=57
[1970-01-01 01:01:01.970890] EVRESSSOC=57
[1970-01-01 01:01:02.060883] EVRESSSOC=57
[1970-01-01 01:01:02.150883] EVRESSSOC=57
[1970-01-01 01:01:02.240884] EVRESSSOC=57
[1970-01-01 01:01:02.330884] EVRESSSOC=57
[1970-01-01 01:01:02.420884] EVRESSSOC=57
[1970-01-01 01:01:02.510884] EVRESSSOC=57
[1970-01-01 01:01:02.600884] EVRESSSOC=57
[1970-01-01 01:01:02.690892] EVRESSSOC=57
[1970-01-01 01:01:02.780915] EVRESSSOC=57
[1970-01-01 01:01:02.870891] EVRESSSOC=57
[1970-01-01 01:01:03.200894] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:03.200894] EVTargetCurrent=1.0
[1970-01-01 01:01:03.200894] EVRESSSOC=57
[1970-01-01 01:01:03.230894] EVSEPresentVoltage=0.0
[1970-01-01 01:01:03.310894] EVTargetVoltage=353.5
[1970-01-01 01:01:03.310894] EVTargetCurrent=1.0
[1970-01-01 01:01:03.310894] EVRESSSOC=57
[1970-01-01 01:01:03.320895] EVSEPresentVoltage=103.28
[1970-01-01 01:01:03.400894] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:03.400894] EVTargetCurrent=1.0
[1970-01-01 01:01:03.400894] EVRESSSOC=57
[1970-01-01 01:01:03.410895] EVSEPresentVoltage=125.35000000000001
[1970-01-01 01:01:03.490907] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:03.490907] EVTargetCurrent=1.0
[1970-01-01 01:01:03.490907] EVRESSSOC=57
[1970-01-01 01:01:03.500895] EVSEPresentVoltage=216.0
[1970-01-01 01:01:03.580916] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:03.580916] EVTargetCurrent=1.0
[1970-01-01 01:01:03.580916] EVRESSSOC=57
[1970-01-01 01:01:03.590908] EVSEPresentVoltage=261.43
[1970-01-01 01:01:03.670902] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:03.670902] EVTargetCurrent=1.0
[1970-01-01 01:01:03.670902] EVRESSSOC=57
[1970-01-01 01:01:03.680912] EVSEPresentVoltage=343.6
[1970-01-01 01:01:03.760895] EVTargetVoltage=353.5
[1970-01-01 01:01:03.760895] EVTargetCurrent=1.0
[1970-01-01 01:01:03.760895] EVRESSSOC=57
[1970-01-01 01:01:03.770903] EVSEPresentVoltage=347.5
[1970-01-01 01:01:03.850895] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:03.850895] EVTargetCurrent=1.0
[1970-01-01 01:01:03.850895] EVRESSSOC=57
[1970-01-01 01:01:03.860896] EVSEPresentVoltage=347.8
[1970-01-01 01:01:03.940895] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:03.940895] EVTargetCurrent=1.0
[1970-01-01 01:01:03.940895] EVRESSSOC=57
[1970-01-01 01:01:03.950896] EVSEPresentVoltage=347.8
[1970-01-01 01:01:04.030895] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:04.030895] EVTargetCurrent=1.0
[1970-01-01 01:01:04.030895] EVRESSSOC=57
[1970-01-01 01:01:04.040896] EVSEPresentVoltage=348.0
[1970-01-01 01:01:04.120895] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:04.120895] EVTargetCurrent=1.0
[1970-01-01 01:01:04.120895] EVRESSSOC=57
[1970-01-01 01:01:04.130896] EVSEPresentVoltage=348.1
[1970-01-01 01:01:04.210896] EVTargetVoltage=353.1
[1970-01-01 01:01:04.210896] EVTargetCurrent=1.0
[1970-01-01 01:01:04.210896] EVRESSSOC=57
[1970-01-01 01:01:04.220896] EVSEPresentVoltage=348.40000000000003
[1970-01-01 01:01:04.300896] EVTargetVoltage=353.1
[1970-01-01 01:01:04.300896] EVTargetCurrent=1.0
[1970-01-01 01:01:04.300896] EVRESSSOC=57
[1970-01-01 01:01:04.310897] EVSEPresentVoltage=348.5
[1970-01-01 01:01:04.390908] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:04.390908] EVTargetCurrent=1.0
[1970-01-01 01:01:04.390908] EVRESSSOC=57
[1970-01-01 01:01:04.400897] EVSEPresentVoltage=348.5
[1970-01-01 01:01:04.480939] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:04.480939] EVTargetCurrent=1.0
[1970-01-01 01:01:04.480939] EVRESSSOC=57
[1970-01-01 01:01:04.490914] EVSEPresentVoltage=348.8
[1970-01-01 01:01:04.570903] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:04.570903] EVTargetCurrent=1.0
[1970-01-01 01:01:04.570903] EVRESSSOC=57
[1970-01-01 01:01:04.580918] EVSEPresentVoltage=348.90000000000003
[1970-01-01 01:01:04.660896] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:04.660896] EVTargetCurrent=1.0
[1970-01-01 01:01:04.660896] EVRESSSOC=57
[1970-01-01 01:01:04.670904] EVSEPresentVoltage=353.1
[1970-01-01 01:01:05.400925] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:05.400925] EVTargetCurrent=1.0
[1970-01-01 01:01:05.400925] EVRESSSOC=57
[1970-01-01 01:01:05.410919] EVSEPresentVoltage=353.20000000000005
[1970-01-01 01:01:05.410919] EVSEPresentCurrent=0.019
[1970-01-01 01:01:05.490953] EVTargetVoltage=353.40000000000003
[1970-01-01 01:01:05.490953] EVTargetCurrent=1.0
[1970-01-01 01:01:05.490953] EVRESSSOC=57
[1970-01-01 01:01:05.500919] EVSEPresentVoltage=353.20000000000005
[1970-01-01 01:01:05.500919] EVSEPresentCurrent=0.025
[1970-01-01 01:01:05.580956] EVTargetVoltage=412.8
[1970-01-01 01:01:05.580956] EVTargetCurrent=2.0
[1970-01-01 01:01:05.580956] EVRESSSOC=57
[1970-01-01 01:01:05.590948] EVSEPresentVoltage=353.1
[1970-01-01 01:01:05.590948] EVSEPresentCurrent=0.029
[1970-01-01 01:01:05.670932] EVTargetVoltage=412.8
[1970-01-01 01:01:05.670932] EVTargetCurrent=3.0
[1970-01-01 01:01:05.670932] EVRESSSOC=57
[1970-01-01 01:01:05.680975] EVSEPresentVoltage=353.1
[1970-01-01 01:01:05.680975] EVSEPresentCurrent=0.029
[1970-01-01 01:01:05.760925] EVTargetVoltage=412.8
[1970-01-01 01:01:05.760925] EVTargetCurrent=4.0
[1970-01-01 01:01:05.760925] EVRESSSOC=57
[1970-01-01 01:01:05.770927] EVSEPresentVoltage=353.1
[1970-01-01 01:01:05.770927] EVSEPresentCurrent=0.026000000000000002
[1970-01-01 01:01:05.850925] EVTargetVoltage=412.8
[1970-01-01 01:01:05.850925] EVTargetCurrent=5.0
[1970-01-01 01:01:05.850925] EVRESSSOC=57
[1970-01-01 01:01:05.860920] EVSEPresentVoltage=353.20000000000005
[1970-01-01 01:01:05.860920] EVSEPresentCurrent=0.025
[1970-01-01 01:01:05.940925] EVTargetVoltage=412.8
[1970-01-01 01:01:05.940925] EVTargetCurrent=6.0
[1970-01-01 01:01:05.940925] EVRESSSOC=57
[1970-01-01 01:01:05.950920] EVSEPresentVoltage=353.1
[1970-01-01 01:01:05.950920] EVSEPresentCurrent=0.021
[1970-01-01 01:01:06.030926] EVTargetVoltage=412.8
[1970-01-01 01:01:06.030926] EVTargetCurrent=7.0
[1970-01-01 01:01:06.030926] EVRESSSOC=57
[1970-01-01 01:01:06.040920] EVSEPresentVoltage=353.1
[1970-01-01 01:01:06.040920] EVSEPresentCurrent=0.017
[1970-01-01 01:01:06.120926] EVTargetVoltage=412.8
[1970-01-01 01:01:06.120926] EVTargetCurrent=8.0
[1970-01-01 01:01:06.120926] EVRESSSOC=57
[1970-01-01 01:01:06.130921] EVSEPresentVoltage=353.1
[1970-01-01 01:01:06.130921] EVSEPresentCurrent=0.017
[1970-01-01 01:01:06.210926] EVTargetVoltage=412.8
[1970-01-01 01:01:06.210926] EVTargetCurrent=9.0
[1970-01-01 01:01:06.210926] EVRESSSOC=57
[1970-01-01 01:01:06.220921] EVSEPresentVoltage=353.1
[1970-01-01 01:01:06.220921] EVSEPresentCurrent=0.001
[1970-01-01 01:01:06.300926] EVTargetVoltage=412.8
[1970-01-01 01:01:06.300926] EVTargetCurrent=9.0
[1970-01-01 01:01:06.300926] EVRESSSOC=57
[1970-01-01 01:01:06.310921] EVSEPresentVoltage=353.20000000000005
[1970-01-01 01:01:06.310921] EVSEPresentCurrent=1.844
[1970-01-01 01:01:06.390959] EVTargetVoltage=412.8
[1970-01-01 01:01:06.390959] EVTargetCurrent=10.0
[1970-01-01 01:01:06.390959] EVRESSSOC=57
[1970-01-01 01:01:06.400921] EVSEPresentVoltage=353.40000000000003
[1970-01-01 01:01:06.400921] EVSEPresentCurrent=6.381
[1970-01-01 01:01:06.480952] EVTargetVoltage=412.8
[1970-01-01 01:01:06.480952] EVTargetCurrent=11.0
[1970-01-01 01:01:06.480952] EVRESSSOC=57
[1970-01-01 01:01:06.490955] EVSEPresentVoltage=353.6
[1970-01-01 01:01:06.490955] EVSEPresentCurrent=8.331
[1970-01-01 01:01:06.570933] EVTargetVoltage=412.8
[1970-01-01 01:01:06.570933] EVTargetCurrent=12.0
[1970-01-01 01:01:06.570933] EVRESSSOC=57
[1970-01-01 01:01:06.580973] EVSEPresentVoltage=353.6
[1970-01-01 01:01:06.580973] EVSEPresentCurrent=9.412
[1970-01-01 01:01:06.660928] EVTargetVoltage=412.8
[1970-01-01 01:01:06.660928] EVTargetCurrent=13.0
[1970-01-01 01:01:06.660928] EVRESSSOC=57
[1970-01-01 01:01:06.670929] EVSEPresentVoltage=353.70000000000005
[1970-01-01 01:01:06.670929] EVSEPresentCurrent=9.901
[1970-01-01 01:01:06.750928] EVTargetVoltage=412.8
[1970-01-01 01:01:06.750928] EVTargetCurrent=14.0
[1970-01-01 01:01:06.750928] EVRESSSOC=57
[1970-01-01 01:01:06.760922] EVSEPresentVoltage=353.8
[1970-01-01 01:01:06.760922] EVSEPresentCurrent=11.107000000000001
[1970-01-01 01:01:06.840929] EVTargetVoltage=412.8
[1970-01-01 01:01:06.840929] EVTargetCurrent=15.0
[1970-01-01 01:01:06.840929] EVRESSSOC=57
[1970-01-01 01:01:06.850922] EVSEPresentVoltage=353.90000000000003
[1970-01-01 01:01:06.850922] EVSEPresentCurrent=12.157
[1970-01-01 01:01:06.930929] EVTargetVoltage=412.8
[1970-01-01 01:01:06.930929] EVTargetCurrent=16.0
[1970-01-01 01:01:06.930929] EVRESSSOC=57
[1970-01-01 01:01:06.940922] EVSEPresentVoltage=353.90000000000003
[1970-01-01 01:01:06.940922] EVSEPresentCurrent=13.02
[1970-01-01 01:01:07.020929] EVTargetVoltage=412.8
[1970-01-01 01:01:07.020929] EVTargetCurrent=17.0
[1970-01-01 01:01:07.020929] EVRESSSOC=57
[1970-01-01 01:01:07.030923] EVSEPresentVoltage=354.0
[1970-01-01 01:01:07.030923] EVSEPresentCurrent=14.273
[1970-01-01 01:01:07.110929] EVTargetVoltage=412.8
[1970-01-01 01:01:07.110929] EVTargetCurrent=18.0
[1970-01-01 01:01:07.110929] EVRESSSOC=57
[1970-01-01 01:01:07.120923] EVSEPresentVoltage=354.1
[1970-01-01 01:01:07.120923] EVSEPresentCurrent=14.754
[1970-01-01 01:01:07.200929] EVTargetVoltage=412.8
[1970-01-01 01:01:07.200929] EVTargetCurrent=18.0
[1970-01-01 01:01:07.200929] EVRESSSOC=57
[1970-01-01 01:01:07.210923] EVSEPresentVoltage=354.1
[1970-01-01 01:01:07.210923] EVSEPresentCurrent=15.924
[1970-01-01 01:01:07.290962] EVTargetVoltage=412.8
[1970-01-01 01:01:07.290962] EVTargetCurrent=19.0
[1970-01-01 01:01:07.290962] EVRESSSOC=57
[1970-01-01 01:01:07.300924] EVSEPresentVoltage=354.20000000000005
[1970-01-01 01:01:07.300924] EVSEPresentCurrent=17.173000000000002
[1970-01-01 01:01:07.380929] EVTargetVoltage=412.8
[1970-01-01 01:01:07.380929] EVTargetCurrent=20.0
[1970-01-01 01:01:07.380929] EVRESSSOC=57
[1970-01-01 01:01:07.390958] EVSEPresentVoltage=354.20000000000005
[1970-01-01 01:01:07.390958] EVSEPresentCurrent=17.494
[1970-01-01 01:01:07.470936] EVTargetVoltage=412.8
[1970-01-01 01:01:07.470936] EVTargetCurrent=21.0
[1970-01-01 01:01:07.470936] EVRESSSOC=57
[1970-01-01 01:01:07.480925] EVSEPresentVoltage=354.3
[1970-01-01 01:01:07.480925] EVSEPresentCurrent=17.928
[1970-01-01 01:01:07.560930] EVTargetVoltage=412.8
[1970-01-01 01:01:07.560930] EVTargetCurrent=22.0
[1970-01-01 01:01:07.560930] EVRESSSOC=57
[1970-01-01 01:01:07.570932] EVSEPresentVoltage=354.40000000000003
[1970-01-01 01:01:07.570932] EVSEPresentCurrent=19.334
[1970-01-01 01:01:07.650930] EVTargetVoltage=412.8
[1970-01-01 01:01:07.650930] EVTargetCurrent=23.0
[1970-01-01 01:01:07.650930] EVRESSSOC=57
[1970-01-01 01:01:07.660925] EVSEPresentVoltage=354.40000000000003
[1970-01-01 01:01:07.660925] EVSEPresentCurrent=20.28
[1970-01-01 01:01:07.740930] EVTargetVoltage=412.8
[1970-01-01 01:01:07.740930] EVTargetCurrent=24.0
[1970-01-01 01:01:07.740930] EVRESSSOC=57
[1970-01-01 01:01:07.750925] EVSEPresentVoltage=354.5
[1970-01-01 01:01:07.750925] EVSEPresentCurrent=21.268
[1970-01-01 01:01:07.830930] EVTargetVoltage=412.8
[1970-01-01 01:01:07.830930] EVTargetCurrent=25.0
[1970-01-01 01:01:07.830930] EVRESSSOC=57
[1970-01-01 01:01:07.840925] EVSEPresentVoltage=354.5
[1970-01-01 01:01:07.840925] EVSEPresentCurrent=22.356
[1970-01-01 01:01:07.920930] EVTargetVoltage=412.8
[1970-01-01 01:01:07.920930] EVTargetCurrent=26.0
[1970-01-01 01:01:07.920930] EVRESSSOC=57
[1970-01-01 01:01:07.930926] EVSEPresentVoltage=354.6
[1970-01-01 01:01:07.930926] EVSEPresentCurrent=23.492
[1970-01-01 01:01:08.010931] EVTargetVoltage=412.8
[1970-01-01 01:01:08.010931] EVTargetCurrent=27.0
[1970-01-01 01:01:08.010931] EVRESSSOC=57
[1970-01-01 01:01:08.020926] EVSEPresentVoltage=354.70000000000005
[1970-01-01 01:01:08.020926] EVSEPresentCurrent=23.967
[1970-01-01 01:01:08.100931] EVTargetVoltage=412.8
[1970-01-01 01:01:08.100931] EVTargetCurrent=27.0
[1970-01-01 01:01:08.100931] EVRESSSOC=57
[1970-01-01 01:01:08.110926] EVSEPresentVoltage=354.70000000000005
[1970-01-01 01:01:08.110926] EVSEPresentCurrent=25.102
[1970-01-01 01:01:08.190964] EVTargetVoltage=412.8
[1970-01-01 01:01:08.190964] EVTargetCurrent=28.0
[1970-01-01 01:01:08.190964] EVRESSSOC=57
[1970-01-01 01:01:08.200926] EVSEPresentVoltage=354.8
[1970-01-01 01:01:08.200926] EVSEPresentCurrent=25.996000000000002
[1970-01-01 01:01:08.280931] EVTargetVoltage=412.8
[1970-01-01 01:01:08.280931] EVTargetCurrent=29.0
[1970-01-01 01:01:08.280931] EVRESSSOC=57
[1970-01-01 01:01:08.290959] EVSEPresentVoltage=354.8
[1970-01-01 01:01:08.290959] EVSEPresentCurrent=26.512
[1970-01-01 01:01:08.370938] EVTargetVoltage=412.8
[1970-01-01 01:01:08.370938] EVTargetCurrent=30.0
[1970-01-01 01:01:08.370938] EVRESSSOC=57
[1970-01-01 01:01:08.380926] EVSEPresentVoltage=354.90000000000003
[1970-01-01 01:01:08.380926] EVSEPresentCurrent=27.043
[1970-01-01 01:01:08.460931] EVTargetVoltage=412.8
[1970-01-01 01:01:08.460931] EVTargetCurrent=31.0
[1970-01-01 01:01:08.460931] EVRESSSOC=57
[1970-01-01 01:01:08.470933] EVSEPresentVoltage=354.90000000000003
[1970-01-01 01:01:08.470933] EVSEPresentCurrent=28.118000000000002
[1970-01-01 01:01:08.550931] EVTargetVoltage=412.8
[1970-01-01 01:01:08.550931] EVTargetCurrent=32.0
[1970-01-01 01:01:08.550931] EVRESSSOC=57
