name,type,start_time,"mosi","miso"
"SPI","result",2.8386837,0x00,0x00
"SPI","result",2.83868483,0x00,0x00
"SPI","result",2.83868545,0x00,0x00
"SPI","result",2.8386882,0xC2,0x00
"SPI","result",2.83868883,0x00,0x00
"SPI","result",2.83868995,0x00,0x00
"SPI","result",2.83869058,0x00,0x00
"SPI","result",2.83869332,0xC2,0x00
"SPI","result",2.83869395,0x00,0x00
"SPI","result",2.83869507,0x00,0x00
"SPI","result",2.8386957,0x00,0x00
"SPI","result",2.8486666,0xDA,0x00
"SPI","result",2.84866722,0x00,0x00
"SPI","result",2.84866835,0x00,0x00
"SPI","result",2.84866897,0x00,0x00
"SPI","result",2.848683,0xC2,0x00
"SPI","result",2.84868363,0x00,0x00
"SPI","result",2.84868475,0x00,0x00
"SPI","result",2.84868538,0x00,0x00
"SPI","result",2.84868812,0xC2,0x00
"SPI","result",2.84868875,0x00,0x00
"SPI","result",2.84868987,0x00,0x00
"SPI","result",2.8486905,0x00,0x00
"SPI","result",2.84869325,0xC2,0x00
"SPI","result",2.84869387,0x00,0x00
"SPI","result",2.848695,0x00,0x00
"SPI","result",2.84869562,0x00,0x00
"SPI","result",2.86866662,0xDA,0x00
"SPI","result",2.86866725,0x00,0x00
"SPI","result",2.86866837,0x00,0x00
"SPI","result",2.868669,0x00,0x00
"SPI","result",2.8686714,0xC2,0x00
"SPI","result",2.86867202,0x00,0x00
"SPI","result",2.86867315,0x00,0x00
"SPI","result",2.86867378,0x00,0x00
"SPI","result",2.86868147,0xC2,0x00
"SPI","result",2.8686821,0x00,0x00
"SPI","result",2.86868322,0x00,0x00
"SPI","result",2.86868385,0x00,0x00
"SPI","result",2.8686866,0xC2,0x00
"SPI","result",2.86868722,0x00,0x00
"SPI","result",2.86868835,0x00,0x00
"SPI","result",2.86868897,0x00,0x00
"SPI","result",2.86869173,0xC2,0x00
"SPI","result",2.86869235,0x00,0x00
"SPI","result",2.86869348,0x00,0x00
"SPI","result",2.8686941,0x00,0x00
"SPI","result",3.68894572,0xDA,0x3F
"SPI","result",3.68894635,0x00,0xFF
"SPI","result",3.68894747,0x00,0xFF
"SPI","result",3.6889481,0x00,0xFF
"SPI","result",3.68895068,0xCD,0xE1
