Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
463152,00000109,false,Rx,3,8,00,01,00,00,00,00,00,34,
463399,00000200,false,Rx,3,8,00,00,00,08,FE,D3,3C,64,
463646,00000201,false,Rx,3,8,C1,00,00,00,00,00,00,C1,
463894,00000202,false,Rx,3,8,60,00,20,00,00,00,00,40,
470469,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
470646,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
470893,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
472664,000002A1,false,Rx,3,8,01,00,00,14,01,16,08,00,
472911,00000540,false,Rx,3,8,61,00,00,00,95,00,00,00,
473165,00000109,false,Rx,3,8,00,01,00,00,00,00,00,01,
473412,00000200,false,Rx,3,8,00,00,00,08,FE,13,3C,64,
473662,00000201,false,Rx,3,8,01,00,00,00,00,00,00,01,
473909,00000202,false,Rx,3,8,00,00,20,00,00,00,00,20,
480394,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
480644,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
480891,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
483124,00000109,false,Rx,3,8,00,01,00,00,00,00,00,12,
483371,00000200,false,Rx,3,8,00,00,00,08,FE,53,3C,64,
483621,00000201,false,Rx,3,8,41,00,00,00,00,00,00,41,
483868,00000202,false,Rx,3,8,20,00,20,00,00,00,00,00,
490439,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
490617,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
490864,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
493179,00000109,false,Rx,3,8,00,01,00,00,00,00,00,23,
493368,00000200,false,Rx,3,8,00,00,00,08,FE,93,3C,64,
493616,00000201,false,Rx,3,8,81,00,00,00,00,00,00,81,
493864,00000202,false,Rx,3,8,40,00,20,00,00,00,00,60,
500425,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
500675,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
500921,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
503152,00000109,false,Rx,3,8,00,01,00,00,00,00,00,34,
503399,00000200,false,Rx,3,8,00,00,00,08,FE,D3,3C,64,
503646,00000201,false,Rx,3,8,C1,00,00,00,00,00,00,C1,
503894,00000202,false,Rx,3,8,60,00,20,00,00,00,00,40,
510472,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
510728,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
510975,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
511155,00000549,false,Rx,3,8,3C,73,00,00,00,00,00,80,
511402,00000579,false,Rx,3,8,7C,7C,7C,7C,44,00,00,FE,
511653,0000057A,false,Rx,3,8,1F,00,00,3E,00,00,00,80,
511900,0000057B,false,Rx,3,8,E3,01,00,80,24,50,64,A0,
512155,00000590,false,Rx,3,8,11,02,00,00,00,00,00,78,
512402,00000592,false,Rx,3,8,44,00,05,00,01,00,05,85,
