Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
74170,00000578,false,Rx,0,6,10,00,00,00,00,00,00,00,
74574,00000588,false,Rx,0,8,A4,49,A4,49,00,00,00,00,
75085,000005EC,false,Rx,0,8,00,00,00,00,00,00,00,00,
75332,00000200,false,Rx,0,8,00,80,49,04,00,3B,3C,00,
75582,00000201,false,Rx,0,8,11,00,00,00,00,00,00,11,
75912,00000202,false,Rx,0,8,02,00,20,00,00,00,00,22,
76920,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
77167,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
77493,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
77664,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,F3,
77920,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
78167,00000570,false,Rx,0,8,00,00,4A,00,00,00,00,00,
78791,00000220,false,Rx,0,7,10,24,82,00,00,AE,0F,00,
78970,00000153,false,Rx,0,8,20,00,10,F2,00,F2,40,54,
79217,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
79467,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
79713,00000386,false,Rx,0,8,00,C0,00,40,00,40,00,80,
79885,00000507,false,Rx,0,4,00,00,00,01,00,00,00,00,
80518,00000490,false,Rx,0,7,00,00,08,00,00,00,00,00,
81452,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
83591,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,1B,
83612,00000200,false,Rx,0,8,00,80,49,04,00,7B,3C,00,
83629,00000201,false,Rx,0,8,51,00,00,00,00,00,00,51,
83743,00000202,false,Rx,0,8,22,00,20,00,00,00,00,02,
86138,000005E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
86385,000005E6,false,Rx,0,8,00,F0,00,00,00,00,00,00,
86636,000005E8,false,Rx,0,8,00,00,00,00,00,00,00,00,
86883,000005E9,false,Rx,0,8,01,00,00,00,00,00,00,00,
87137,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
87309,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
87558,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
87805,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,E4,
88060,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
88536,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
88783,00000153,false,Rx,0,8,20,00,10,F2,00,F2,50,64,
89267,00000220,false,Rx,0,7,11,E4,81,00,00,B2,0F,00,
89772,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
90285,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
90613,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
90860,00000387,false,Rx,0,8,1B,7A,2C,CE,00,9D,0E,00,
91115,00000394,false,Rx,0,8,0F,04,00,00,0F,84,11,83,
91287,00000471,false,Rx,0,6,04,00,10,00,00,28,00,00,
91536,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,17,
92929,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,2C,
93176,00000200,false,Rx,0,8,00,80,49,04,00,BB,3C,00,
93425,00000201,false,Rx,0,8,91,00,00,00,00,00,00,91,
93746,00000202,false,Rx,0,8,42,00,20,00,00,00,00,62,
97195,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
97444,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
97691,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,D5,
97863,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
98118,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
98744,00000220,false,Rx,0,7,11,C4,81,00,00,B2,0F,00,
98999,00000153,false,Rx,0,8,20,00,10,F2,00,F2,60,74,
99245,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
99493,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
99740,00000386,false,Rx,0,8,00,00,00,80,00,40,00,80,
101437,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,28,
103627,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,3D,
103650,00000200,false,Rx,0,8,00,80,49,04,00,FB,3C,00,
103767,00000201,false,Rx,0,8,D1,00,00,00,00,00,00,D1,
104021,00000202,false,Rx,0,8,62,00,20,00,00,00,00,42,
107017,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
107354,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
107681,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,C6,
108089,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
108492,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
108740,00000220,false,Rx,0,7,12,24,82,00,00,AD,0F,00,
108994,00000153,false,Rx,0,8,20,00,10,F2,00,F2,70,84,
109501,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
109748,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
110003,00000387,false,Rx,0,8,1B,7A,2C,CE,00,8F,00,00,
110250,00000394,false,Rx,0,8,11,24,00,00,11,84,19,83,
110347,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
110595,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
110925,00000471,false,Rx,0,6,04,00,10,00,00,6C,00,00,
111398,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,39,
112942,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,0A,
113189,00000200,false,Rx,0,8,00,80,49,04,00,3B,3C,00,
113741,00000201,false,Rx,0,8,11,00,00,00,00,00,00,11,
113995,00000202,false,Rx,0,8,02,00,20,00,00,00,00,22,
116980,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
117227,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
117629,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
117801,000002B0,false,Rx,0,5,59,00,00,00,00,00,00,00,
118056,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,B7,
118756,00000220,false,Rx,0,7,13,64,82,00,00,AD,0F,00,
119011,00000153,false,Rx,0,8,20,00,10,F2,00,F2,80,94,
119258,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
119507,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
119754,00000386,false,Rx,0,8,00,40,00,80,00,40,00,80,
121455,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
123674,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,1B,
123703,00000200,false,Rx,0,8,00,80,49,04,00,7B,3C,00,
123719,00000201,false,Rx,0,8,51,00,00,00,00,00,00,51,
123736,00000202,false,Rx,0,8,22,00,20,00,00,00,00,02,
126976,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
127376,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
127550,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
127797,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,A8,
128204,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
128678,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
128932,00000153,false,Rx,0,8,20,00,10,F2,00,F2,90,A4,
129333,00000220,false,Rx,0,7,13,24,82,00,00,AD,0F,00,
129582,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
130094,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
130341,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
130515,00000471,false,Rx,0,6,04,00,00,00,00,70,00,00,
130762,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
131017,00000490,false,Rx,0,7,00,00,08,00,00,00,00,00,
131264,00000387,false,Rx,0,8,1B,7A,2C,CE,00,90,01,00,
131742,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,17,
131996,00000394,false,Rx,0,8,11,44,00,00,11,84,17,83,
132428,00000549,false,Rx,0,8,B0,81,41,64,A2,14,59,6F,
132675,00000540,false,Rx,0,8,A0,30,0B,00,02,01,00,00,
132929,00000579,false,Rx,0,8,A4,49,A4,49,44,00,00,FE,
133176,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,2C,
133424,00000200,false,Rx,0,8,00,80,49,04,00,BB,3C,00,
133746,00000201,false,Rx,0,8,91,00,00,00,00,00,00,91,
134001,00000202,false,Rx,0,8,42,00,20,00,00,00,00,62,
134248,0000057A,false,Rx,0,8,8D,C0,90,9E,FE,1D,01,80,
134498,0000057B,false,Rx,0,8,E3,01,00,00,00,50,64,A0,
134745,00000590,false,Rx,0,8,07,00,1B,00,95,00,2A,75,
135000,00000592,false,Rx,0,8,40,EF,05,00,00,00,05,44,
136997,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
137397,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
137644,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,99,
137891,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
138070,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
138317,00000584,false,Rx,0,8,01,00,00,14,12,50,30,30,
138791,00000220,false,Rx,0,7,13,24,82,00,00,AC,0F,00,
138969,00000153,false,Rx,0,8,20,00,10,F2,00,F2,A0,B4,
139216,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
139467,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
139714,00000386,false,Rx,0,8,00,80,00,80,00,40,00,80,
141485,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,28,
141732,000004EE,false,Rx,0,8,00,00,00,00,00,00,00,06,
141987,0000057F,false,Rx,0,8,80,0A,66,00,00,00,00,00,
142234,00000581,false,Rx,0,8,00,00,00,00,00,00,00,00,
143714,0000058E,false,Rx,0,8,00,01,00,EF,28,20,00,C0,
143740,00000542,false,Rx,0,8,A6,2C,01,00,00,00,FF,FF,
143758,00000491,false,Rx,0,8,18,00,00,00,00,00,00,00,
143950,00000493,false,Rx,0,8,00,0E,FC,11,00,00,2C,01,
144226,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,3D,
144474,000004E2,false,Rx,0,8,AF,00,C3,00,00,00,00,00,
144770,00000200,false,Rx,0,8,00,80,49,04,00,FB,3C,00,
144956,00000594,false,Rx,0,8,C7,1C,48,26,C4,9F,00,00,
145129,00000201,false,Rx,0,8,D1,00,00,00,00,00,00,D1,
145376,00000595,false,Rx,0,8,03,00,C2,C3,09,00,9B,0E,
145624,00000202,false,Rx,0,8,62,00,20,00,00,00,00,42,
145872,00000596,false,Rx,0,8,00,92,00,00,18,00,02,03,
146127,00000597,false,Rx,0,8,85,50,00,00,00,00,00,00,
146374,00000598,false,Rx,0,8,00,00,00,00,4D,53,02,02,
146622,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
146869,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
147277,000002B0,false,Rx,0,5,59,00,00,00,00,00,00,00,
147451,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
147698,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,8A,
147952,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
